code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev,mndwi,ndwi,nirwi
land,1998/2000,20,63,POINT (178.14578515291674 -18.365224963424044),1.0,621060.0,-2030970.0,0.0,0.034299999475479126,0.0,1.0,0.07109999656677246,0.0,0.6396999955177307,0.0,0.029200000688433647,0.0,0.24770000576972961,0.0,0.08749999850988388,0.0,-0.676948070526123,0.0,0.0,-0.5539523363113403,-0.799943745136261,-0.6665363311767578
water,1998/2000,20,63,POINT (178.15311473348297 -18.357584305334093),1.0,621840.0,-2030130.0,0.0,0.026599999517202377,0.0,1.0,0.008799999952316284,0.0,0.0,0.0,-0.00039999998989515007,0.0,0.0010000000474974513,0.0,-0.006599999964237213,0.0,0.9878048896789551,0.0,0.0,0.795918345451355,1.0,1.0
land,1998/2000,20,64,POINT (178.64888275670103 -18.027403779434316),1.0,674550.0,-1993980.0,0.0,0.01360000018030405,0.0,1.0,0.03519999980926514,0.0,0.21050000190734863,0.0,0.024700000882148743,0.0,0.07620000094175339,0.0,0.028200000524520874,0.0,-0.3414686918258667,0.0,0.0,-0.36804309487342834,-0.7134717106819153,-0.24372227489948273
water,1998/2000,20,64,POINT (178.64972385611028 -18.011406879523996),1.0,674640.0,-1992240.0,0.0,0.021900000050663948,0.0,1.0,0.03269999846816063,0.0,0.007899999618530273,0.0,0.026000000536441803,0.0,0.0044999998062849045,0.0,0.0013000000035390258,0.0,0.8892374038696289,0.0,0.0,0.7580645680427551,0.610837459564209,0.8837380409240723
cloud,1998/2000,20,64,POINT (178.6725987561152 -18.063191577090045),1.0,677010.0,-1997970.0,0.0,0.07980000227689743,0.0,1.0,0.08900000154972076,0.0,0.10949999839067459,0.0,0.07119999825954437,0.0,0.08309999853372574,0.0,0.07209999859333038,0.0,0.032548848539590836,0.0,0.0,0.03428240865468979,-0.10327453911304474,0.07789476215839386
cloud,1998/2000,31,64,POINT (179.0920457186325 -8.644551505479678),,,,,0.06379999965429306,0.02550625056028366,2.0,0.04800000041723251,0.028091249987483025,0.03830000013113022,0.028049999848008156,0.04010000079870224,0.02868250012397766,0.04390000179409981,0.03488374873995781,0.04259999841451645,0.037812501192092896,0.4182121753692627,0.23117466270923615,0.23117466270923615,0.04461369290947914,0.11239860951900482,0.5393866896629333
cloud,1998/2000,31,65,POINT (179.11155227343727 -8.620526735292906),,,,,0.05920000001788139,0.02619374915957451,2.0,0.04490000009536743,0.024970000609755516,0.041099999099969864,0.0309237502515316,0.04100000113248825,0.02961749956011772,0.035999998450279236,0.026922499760985374,0.03689999878406525,0.029589999467134476,0.4492563009262085,0.2232455015182495,0.2232455015182495,0.11001238226890564,0.0441860593855381,0.513897180557251
bare_terrain,1999,15,50,POINT (166.70561237095797 -22.330591899755458),1.0,675660.0,-2470410.0,0.0,0.03660000115633011,0.0,1.0,0.05400000140070915,0.0,0.19439999759197235,0.0,0.05530000105500221,0.0,0.18719999492168427,0.0,0.10689999908208847,0.0,-0.5587280988693237,0.0,0.0,-0.5522387623786926,-0.5652173757553101,-0.20595531165599823
bare_terrain,1999,15,50,POINT (166.70532699112724 -22.330609943255332),1.0,675630.0,-2470410.0,0.0,0.028200000524520874,0.0,1.0,0.04859999939799309,0.0,0.18279999494552612,0.0,0.04230000078678131,0.0,0.15530000627040863,0.0,0.08489999920129776,0.0,-0.5516219139099121,0.0,0.0,-0.5232957005500793,-0.5799481272697449,-0.17631913721561432
bare_terrain,1999,15,50,POINT (166.7050621126231 -22.33187106807019),1.0,675600.0,-2470560.0,0.0,0.032999999821186066,0.0,1.0,0.0575999990105629,0.0,0.1875,0.0,0.06019999831914902,0.0,0.1298000067472458,0.0,0.0738999992609024,0.0,-0.4576299786567688,0.0,0.0,-0.38527214527130127,-0.5299878120422363,-0.18858951330184937
