code,time,row,column,row_2,column_2,id,tile_id,epsg,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,meanwi,meanwi_mad,meanwi_stdev,mndwi,mndwi_mad,mndwi_stdev,ndwi,ndwi_mad,ndwi_stdev,nir08,nir08_mad,nir08_stdev,nirwi,nirwi_mad,nirwi_stdev,red,red_mad,swir16,swir16_mad,swir22,swir22_mad
land,1998/2000,61,19,20,63,020063,"20,63",32660,POINT (178.14578515291674 -18.365224963424044),1.0,621060.0,-2030970.0,0.0,0.034299999475479126,0.0,1.0,0.07109999656677246,0.0,-0.7330999970436096,0.0,0.0,-0.5536999702453613,0.0,0.0,-0.7997999787330627,0.0,0.0,0.6396999955177307,0.0,0.0,-0.6664999723434448,0.0,0.0,0.029200000688433647,0.0,0.24770000576972961,0.0,0.08749999850988388,0.0
water,1998/2000,61,19,20,63,020063,"20,63",32660,POINT (178.15311473348297 -18.357584305334093),1.0,621840.0,-2030130.0,0.0,0.026599999517202377,0.0,1.0,0.008799999952316284,0.0,0.9891999959945679,0.0,0.0,0.7925999760627747,0.0,0.0,0.9797999858856201,0.0,0.0,0.0,0.0,0.0,0.9984999895095825,0.0,0.0,-0.00039999998989515007,0.0,0.0010000000474974513,0.0,-0.006599999964237213,0.0
land,1998/2000,61,19,20,64,020064,"20,64",32660,POINT (178.64888275670103 -18.027403779434316),1.0,674550.0,-1993980.0,0.0,0.01360000018030405,0.0,1.0,0.03519999980926514,0.0,-0.478300005197525,0.0,0.0,-0.3671000003814697,0.0,0.0,-0.7128000259399414,0.0,0.0,0.21050000190734863,0.0,0.0,-0.24369999766349792,0.0,0.0,0.024700000882148743,0.0,0.07620000094175339,0.0,0.028200000524520874,0.0
water,1998/2000,61,19,20,64,020064,"20,64",32660,POINT (178.64972385611028 -18.011406879523996),1.0,674640.0,-1992240.0,0.0,0.021900000050663948,0.0,1.0,0.03269999846816063,0.0,0.7468000054359436,0.0,0.0,0.7576000094413757,0.0,0.0,0.6103000044822693,0.0,0.0,0.007899999618530273,0.0,0.0,0.8833000063896179,0.0,0.0,0.026000000536441803,0.0,0.0044999998062849045,0.0,0.0013000000035390258,0.0
cloud,1998/2000,61,19,20,64,020064,"20,64",32660,POINT (178.6725987561152 -18.063191577090045),1.0,677010.0,-1997970.0,0.0,0.07980000227689743,0.0,1.0,0.08900000154972076,0.0,-0.012799999676644802,0.0,0.0,0.0340999998152256,0.0,0.0,-0.10329999774694443,0.0,0.0,0.10949999839067459,0.0,0.0,0.07769999653100967,0.0,0.0,0.07119999825954437,0.0,0.08309999853372574,0.0,0.07209999859333038,0.0
cloud,1998/2000,62,30,31,64,031064,"31,64",32660,POINT (179.0920457186325 -8.644551505479678),,,,,0.06379999965429306,0.02550625056028366,2.0,0.04800000041723251,0.028091249987483025,0.38839998841285706,0.19599196314811707,0.19599196314811707,0.17749999463558197,0.19532740116119385,0.19532740116119385,0.19300000369548798,0.12496200948953629,0.12496200948953629,0.03830000013113022,0.028049999848008156,0.028049999848008156,0.5837000012397766,0.26702192425727844,0.26702192425727844,0.04010000079870224,0.02868250012397766,0.04390000179409981,0.03488374873995781,0.04259999841451645,0.037812501192092896
cloud,1998/2000,62,30,31,65,031065,"31,65",32660,POINT (179.11155227343727 -8.620526735292906),,,,,0.05920000001788139,0.02619374915957451,2.0,0.04490000009536743,0.024970000609755516,0.3587999939918518,0.22708679735660553,0.22708679735660553,0.21250000596046448,0.16037270426750183,0.16037270426750183,0.15230000019073486,0.16805529594421387,0.16805529594421387,0.041099999099969864,0.0309237502515316,0.0309237502515316,0.5652999877929688,0.2861182987689972,0.2861182987689972,0.04100000113248825,0.02961749956011772,0.035999998450279236,0.026922499760985374,0.03689999878406525,0.029589999467134476
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.70561237095797 -22.330591899755458),1.0,675660.0,-2470410.0,0.0,0.03660000115633011,0.0,1.0,0.05400000140070915,0.0,-0.3855000138282776,0.0,0.0,-0.5519000291824341,0.0,0.0,-0.5648999810218811,0.0,0.0,0.19439999759197235,0.0,0.0,-0.2061000019311905,0.0,0.0,0.05530000105500221,0.0,0.18719999492168427,0.0,0.10689999908208847,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.70532699112724 -22.330609943255332),1.0,675630.0,-2470410.0,0.0,0.028200000524520874,0.0,1.0,0.04859999939799309,0.0,-0.3783000111579895,0.0,0.0,-0.5234000086784363,0.0,0.0,-0.5799999833106995,0.0,0.0,0.18279999494552612,0.0,0.0,-0.17649999260902405,0.0,0.0,0.04230000078678131,0.0,0.15530000627040863,0.0,0.08489999920129776,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7050621126231 -22.33187106807019),1.0,675600.0,-2470560.0,0.0,0.032999999821186066,0.0,1.0,0.0575999990105629,0.0,-0.3594000041484833,0.0,0.0,-0.3853999972343445,0.0,0.0,-0.5299999713897705,0.0,0.0,0.1875,0.0,0.0,-0.18880000710487366,0.0,0.0,0.06019999831914902,0.0,0.1298000067472458,0.0,0.0738999992609024,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7047629248728 -22.330310067404707),1.0,675570.0,-2470380.0,0.0,0.029899999499320984,0.0,1.0,0.04490000009536743,0.0,-0.3806999921798706,0.0,0.0,-0.48570001125335693,0.0,0.0,-0.5972999930381775,0.0,0.0,0.17820000648498535,0.0,0.0,-0.16410000622272491,0.0,0.0,0.0406000018119812,0.0,0.1298000067472458,0.0,0.06949999928474426,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.70793447704716 -22.331885936582893),1.0,675900.0,-2470560.0,0.0,0.03799999877810478,0.0,1.0,0.06480000168085098,0.0,-0.09510000050067902,0.0,0.0,-0.3409999907016754,0.0,0.0,-0.26179999113082886,0.0,0.0,0.11089999973773956,0.0,0.0,0.07150000333786011,0.0,0.0,0.09120000153779984,0.0,0.13199999928474426,0.0,0.09149999916553497,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71031295865967 -22.33293870486969),1.0,676140.0,-2470680.0,0.0,0.03629999980330467,0.0,1.0,0.05570000037550926,0.0,-0.399399995803833,0.0,0.0,-0.5202999711036682,0.0,0.0,-0.5703999996185303,0.0,0.0,0.2037999927997589,0.0,0.0,-0.22840000689029694,0.0,0.0,0.06019999831914902,0.0,0.17669999599456787,0.0,0.0982000008225441,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71060249979823 -22.33326151182433),1.0,676170.0,-2470710.0,0.0,0.03629999980330467,0.0,1.0,0.059300001710653305,0.0,-0.4196000099182129,0.0,0.0,-0.5267999768257141,0.0,0.0,-0.5748000144958496,0.0,0.0,0.2198999971151352,0.0,0.0,-0.26429998874664307,0.0,0.0,0.06830000132322311,0.0,0.1915999948978424,0.0,0.10909999907016754,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71377030263366 -22.331874450851203),1.0,676500.0,-2470560.0,0.0,0.03310000151395798,0.0,1.0,0.048500001430511475,0.0,-0.4551999866962433,0.0,0.0,-0.4805999994277954,0.0,0.0,-0.6413999795913696,0.0,0.0,0.22220000624656677,0.0,0.0,-0.26899999380111694,0.0,0.0,0.04050000011920929,0.0,0.13840000331401825,0.0,0.06289999932050705,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71399108812867 -22.33186208896169),1.0,676530.0,-2470560.0,0.0,0.0364999994635582,0.0,1.0,0.05939999967813492,0.0,-0.48579999804496765,0.0,0.0,-0.5049999952316284,0.0,0.0,-0.6291999816894531,0.0,0.0,0.2612999975681305,0.0,0.0,-0.3425000011920929,0.0,0.0,0.05530000105500221,0.0,0.1808999925851822,0.0,0.0892999991774559,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71373583307894 -22.33214051925496),1.0,676500.0,-2470590.0,0.0,0.03310000151395798,0.0,1.0,0.04659999907016754,0.0,-0.46860000491142273,0.0,0.0,-0.46480000019073486,0.0,0.0,-0.6586999893188477,0.0,0.0,0.22679999470710754,0.0,0.0,-0.2784999907016754,0.0,0.0,0.03889999911189079,0.0,0.12770000100135803,0.0,0.05849999934434891,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7137658971738 -22.33239587854039),1.0,676500.0,-2470620.0,0.0,0.026399999856948853,0.0,1.0,0.0430000014603138,0.0,-0.5045999884605408,0.0,0.0,-0.46970000863075256,0.0,0.0,-0.6991999745368958,0.0,0.0,0.24300000071525574,0.0,0.0,-0.3100000023841858,0.0,0.0,0.03229999914765358,0.0,0.11919999867677689,0.0,0.051899999380111694,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71778541730296 -22.33235832806008),1.0,676920.0,-2470620.0,0.0,0.031300000846385956,0.0,1.0,0.04839999973773956,0.0,-0.42660000920295715,0.0,0.0,-0.4756999909877777,0.0,0.0,-0.6194999814033508,0.0,0.0,0.20600000023841858,0.0,0.0,-0.2337000072002411,0.0,0.0,0.042100001126527786,0.0,0.13619999587535858,0.0,0.06949999928474426,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71903674420707 -22.332891503461582),1.0,677040.0,-2470680.0,0.0,0.03440000116825104,0.0,1.0,0.04820000007748604,0.0,-0.35260000824928284,0.0,0.0,-0.5449000000953674,0.0,0.0,-0.5602999925613403,0.0,0.0,0.1712999939918518,0.0,0.0,-0.14489999413490295,0.0,0.0,0.04859999939799309,0.0,0.1639000028371811,0.0,0.09600000083446503,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71876728149903 -22.33288934885754),1.0,677010.0,-2470680.0,0.0,0.029400000348687172,0.0,1.0,0.04830000177025795,0.0,-0.4438999891281128,0.0,0.0,-0.5206999778747559,0.0,0.0,-0.6334999799728394,0.0,0.0,0.21529999375343323,0.0,0.0,-0.25440001487731934,0.0,0.0,0.04529999941587448,0.0,0.15330000221729279,0.0,0.07609999924898148,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71761568774005 -22.332139543399197),1.0,676890.0,-2470590.0,0.0,0.04280000180006027,0.014794999733567238,2.0,0.04989999905228615,0.006957499776035547,-0.3871999979019165,0.1037599965929985,0.1037599965929985,-0.2919999957084656,0.14888246357440948,0.14888246357440948,-0.5781000256538391,0.11135459691286087,0.11135459691286087,0.19509999454021454,0.03866500034928322,0.03866500034928322,-0.19619999825954437,0.09616540372371674,0.09616540372371674,0.04430000111460686,0.013736249879002571,0.093299999833107,0.01742124930024147,0.04149999842047691,0.0037812499795109034
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71762396123478 -22.332375079500295),1.0,676890.0,-2470620.0,0.0,0.02630000002682209,0.0,1.0,0.042899999767541885,0.0,-0.5047000050544739,0.0,0.0,-0.45590001344680786,0.0,0.0,-0.6995000243186951,0.0,0.0,0.24300000071525574,0.0,0.0,-0.3100000023841858,0.0,0.0,0.03220000118017197,0.0,0.11490000039339066,0.0,0.04969999939203262,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71786528597102 -22.3331596047725),1.0,676920.0,-2470710.0,0.0,0.02449999935925007,0.0,1.0,0.04650000110268593,0.0,-0.5263000130653381,0.0,0.0,-0.4000000059604645,0.0,0.0,-0.7021999955177307,0.0,0.0,0.26600000262260437,0.0,0.0,-0.35040000081062317,0.0,0.0,0.03220000118017197,0.0,0.10859999805688858,0.0,0.04529999941587448,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71904876851957 -22.333432808967707),1.0,677040.0,-2470740.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,0.0,
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7201661457112 -22.33402755517481),1.0,677160.0,-2470800.0,0.0,0.27059999108314514,0.0,1.0,0.24650000035762787,0.0,-0.15309999883174896,0.0,0.0,0.44600000977516174,0.0,0.0,0.0052999998442828655,0.0,0.0,0.24390000104904175,0.0,0.0,-0.311599999666214,0.0,0.0,0.23819999396800995,0.0,0.09440000355243683,0.0,0.03449999913573265,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7201791969906 -22.334212907472807),1.0,677160.0,-2470830.0,0.0,0.2565999925136566,0.0,1.0,0.23350000381469727,0.0,-0.14640000462532043,0.0,0.0,0.4375999867916107,0.0,0.0,-0.0005000000237487257,0.0,0.0,0.2337999939918518,0.0,0.0,-0.2924000024795532,0.0,0.0,0.2264000028371811,0.0,0.09130000323057175,0.0,0.02810000069439411,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71991536586077 -22.334230748192113),1.0,677130.0,-2470830.0,0.0,0.2635999917984009,0.0,1.0,0.24390000104904175,0.0,-0.1356000006198883,0.0,0.0,0.4287000000476837,0.0,0.0,0.021199999377131462,0.0,0.0,0.2337999939918518,0.0,0.0,-0.2924000024795532,0.0,0.0,0.2287999987602234,0.0,0.09749999642372131,0.0,0.03449999913573265,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.72016609228984 -22.335341031512193),1.0,677160.0,-2470950.0,0.0,0.23559999465942383,0.0,1.0,0.20749999582767487,0.0,-0.10109999775886536,0.0,0.0,0.43309998512268066,0.0,0.0,0.017899999395012856,0.0,0.0,0.20020000636577606,0.0,0.0,-0.22010000050067902,0.0,0.0,0.19589999318122864,0.0,0.0820000022649765,0.0,0.02810000069439411,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.72021817572215 -22.336072415290108),1.0,677160.0,-2471040.0,0.0,0.20970000326633453,0.0,1.0,0.19189999997615814,0.0,-0.06849999725818634,0.0,0.0,0.44999998807907104,0.0,0.0,0.03180000185966492,0.0,0.0,0.18000000715255737,0.0,0.0,-0.16899999976158142,0.0,0.0,0.1746000051498413,0.0,0.07270000129938126,0.0,0.024900000542402267,0.0
