code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev
land,1998/2000,20,63,POINT (178.14578515291674 -18.365224963424044),1.0,621060.0,-2030970.0,0.0,0.034299999475479126,0.0,1.0,0.07109999656677246,0.0,0.6396999955177307,0.0,0.029200000688433647,0.0,0.24770000576972961,0.0,0.08749999850988388,0.0,-0.6766999959945679,0.0,0.0
water,1998/2000,20,63,POINT (178.15311473348297 -18.357584305334093),1.0,621840.0,-2030130.0,0.0,0.026399999856948853,0.0002337500045541674,2.0,0.0066999997943639755,0.002158750081434846,0.0035000001080334187,0.0034787498880177736,-0.002300000051036477,0.0018837499665096402,0.00419999985024333,0.0032724998891353607,9.999999747378752e-05,0.006792500149458647,0.6093000173568726,0.28633084893226624,0.28633084893226624
land,1998/2000,20,64,POINT (178.64888275670103 -18.027403779434316),1.0,674550.0,-1993980.0,0.0,0.015300000086426735,0.0016499999910593033,2.0,0.03269999846816063,0.00251624989323318,0.24709999561309814,0.036588750779628754,0.022099999710917473,0.0025025000795722008,0.0722000002861023,0.003987499978393316,0.02329999953508377,0.0048812502063810825,-0.5681999921798706,0.028247354552149773,0.028247354552149773
water,1998/2000,20,64,POINT (178.64972385611028 -18.011406879523996),1.0,674640.0,-1992240.0,0.0,0.021900000050663948,0.0,1.0,0.03269999846816063,0.0,0.007899999618530273,0.0,0.026000000536441803,0.0,0.0044999998062849045,0.0,0.0013000000035390258,0.0,0.8203999996185303,0.0,0.0
cloud,1998/2000,20,64,POINT (178.6725987561152 -18.063191577090045),1.0,677010.0,-1997970.0,0.0,0.054999999701976776,0.024860000237822533,2.0,0.05909999832510948,0.02985125035047531,0.06120000034570694,0.048262499272823334,0.04170000180602074,0.029411250725388527,0.046799998730421066,0.03628624975681305,0.04100000113248825,0.03115749917924404,0.34929999709129333,0.2934205234050751,0.2934205234050751
cloud,1998/2000,31,64,POINT (179.0920457186325 -8.644551505479678),,,,,0.06379999965429306,0.02550625056028366,2.0,0.04800000041723251,0.028091249987483025,0.03830000013113022,0.028049999848008156,0.04010000079870224,0.02868250012397766,0.04390000179409981,0.03488374873995781,0.04259999841451645,0.037812501192092896,0.3806000053882599,0.23117466270923615,0.23117466270923615
cloud,1998/2000,31,65,POINT (179.11155227343727 -8.620526735292906),,,,,0.05920000001788139,0.02619374915957451,2.0,0.04490000009536743,0.024970000609755516,0.041099999099969864,0.0309237502515316,0.04100000113248825,0.02961749956011772,0.035999998450279236,0.026922499760985374,0.03689999878406525,0.029589999467134476,0.3889000117778778,0.2232455015182495,0.2232455015182495
bare_terrain,1999,15,50,POINT (166.70561237095797 -22.330591899755458),1.0,675660.0,-2470410.0,0.0,0.03660000115633011,0.0,1.0,0.05400000140070915,0.0,0.19439999759197235,0.0,0.05530000105500221,0.0,0.18719999492168427,0.0,0.10689999908208847,0.0,-0.5583999752998352,0.0,0.0
bare_terrain,1999,15,50,POINT (166.70532699112724 -22.330609943255332),1.0,675630.0,-2470410.0,0.0,0.028200000524520874,0.0,1.0,0.04859999939799309,0.0,0.18279999494552612,0.0,0.04230000078678131,0.0,0.15530000627040863,0.0,0.08489999920129776,0.0,-0.5516999959945679,0.0,0.0
bare_terrain,1999,15,50,POINT (166.7050621126231 -22.33187106807019),1.0,675600.0,-2470560.0,0.0,0.032999999821186066,0.0,1.0,0.0575999990105629,0.0,0.1875,0.0,0.06019999831914902,0.0,0.1298000067472458,0.0,0.0738999992609024,0.0,-0.4577000141143799,0.0,0.0
bare_terrain,1999,15,50,POINT (166.7047629248728 -22.330310067404707),1.0,675570.0,-2470380.0,0.0,0.029899999499320984,0.0,1.0,0.04490000009536743,0.0,0.17820000648498535,0.0,0.0406000018119812,0.0,0.1298000067472458,0.0,0.06949999928474426,0.0,-0.5414999723434448,0.0,0.0
bare_terrain,1999,15,50,POINT (166.70793447704716 -22.331885936582893),1.0,675900.0,-2470560.0,0.0,0.03799999877810478,0.0,1.0,0.06480000168085098,0.0,0.11089999973773956,0.0,0.09120000153779984,0.0,0.13199999928474426,0.0,0.09149999916553497,0.0,-0.1347000002861023,0.0,0.0
bare_terrain,1999,15,50,POINT (166.71031295865967 -22.33293870486969),1.0,676140.0,-2470680.0,0.0,0.03629999980330467,0.0,1.0,0.05570000037550926,0.0,0.2037999927997589,0.0,0.06019999831914902,0.0,0.17669999599456787,0.0,0.0982000008225441,0.0,-0.5454000234603882,0.0,0.0
bare_terrain,1999,15,50,POINT (166.71060249979823 -22.33326151182433),1.0,676170.0,-2470710.0,0.0,0.03629999980330467,0.0,1.0,0.059300001710653305,0.0,0.2198999971151352,0.0,0.06830000132322311,0.0,0.1915999948978424,0.0,0.10909999907016754,0.0,-0.5508000254631042,0.0,0.0
bare_terrain,1999,15,50,POINT (166.71377030263366 -22.331874450851203),1.0,676500.0,-2470560.0,0.0,0.03310000151395798,0.0,1.0,0.048500001430511475,0.0,0.22220000624656677,0.0,0.04050000011920929,0.0,0.13840000331401825,0.0,0.06289999932050705,0.0,-0.5609999895095825,0.0,0.0
bare_terrain,1999,15,50,POINT (166.71399108812867 -22.33186208896169),1.0,676530.0,-2470560.0,0.0,0.0364999994635582,0.0,1.0,0.05939999967813492,0.0,0.2612999975681305,0.0,0.05530000105500221,0.0,0.1808999925851822,0.0,0.0892999991774559,0.0,-0.5670999884605408,0.0,0.0
bare_terrain,1999,15,50,POINT (166.71373583307894 -22.33214051925496),1.0,676500.0,-2470590.0,0.0,0.03310000151395798,0.0,1.0,0.04659999907016754,0.0,0.22679999470710754,0.0,0.03889999911189079,0.0,0.12770000100135803,0.0,0.05849999934434891,0.0,-0.5618000030517578,0.0,0.0
bare_terrain,1999,15,50,POINT (166.7137658971738 -22.33239587854039),1.0,676500.0,-2470620.0,0.0,0.026399999856948853,0.0,1.0,0.0430000014603138,0.0,0.24300000071525574,0.0,0.03229999914765358,0.0,0.11919999867677689,0.0,0.051899999380111694,0.0,-0.5845000147819519,0.0,0.0
bare_terrain,1999,15,50,POINT (166.71778541730296 -22.33235832806008),1.0,676920.0,-2470620.0,0.0,0.031300000846385956,0.0,1.0,0.04839999973773956,0.0,0.20600000023841858,0.0,0.042100001126527786,0.0,0.13619999587535858,0.0,0.06949999928474426,0.0,-0.5475999712944031,0.0,0.0
